stock_code,stock_name,stock_name_chi
142,FIRST PACIFIC CO. LTD.,第一太平
143,GUOAN INTERNATIONAL LIMITED,國安國際
144,CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED,招商局港口
145,CCIAM FUTURE ENERGY LIMITED,信能低碳
146,TAI PING CARPETS INTERNATIONAL LTD,TAI PING CARPET
147,INTERNATIONAL BUSINESS SETTLEMENT HOLDINGS LIMITED,國際商業結算
148,KINGBOARD HOLDINGS LIMITED,建滔集團
149,CHINA AGRI-PRODUCTS EXCHANGE LIMITED,中國農產品交易
150,HYPEBEAST LIMITED,HYPEBEAST LIMITED
151,WANT WANT CHINA HOLDINGS LIMITED,中國旺旺
152,SHENZHEN INTERNATIONAL HOLDINGS LIMITED,深圳國際
153,CHINA SAITE GROUP COMPANY LIMITED,中國賽特
154,BEIJING ENTERPRISES ENVIRONMENT GROUP LIMITED,北京控股環境集團
155,CHINA SOLAR ENERGY HOLDINGS LIMITED,中國源暢
156,LIPPO CHINA RESOURCES LIMITED,力寶華潤
157,NATURAL BEAUTY BIO-TECHNOLOGY LIMITED,自然美
158,MELBOURNE ENTERPRISES LTD.,萬邦投資
159,BROCKMAN MINING LIMITED,布萊克萬礦業
160,"HON KWOK LAND INVESTMENT COMPANY,LIMITED",漢國置業
162,CENTURY GINWA RETAIL HOLDINGS LIMITED,世紀金花
163,EMPEROR INTERNATIONAL HOLDINGS LIMITED,英皇國際
164,CHINA BAOLI TECHNOLOGIES HOLDINGS LIMITED,中國寶力科技
165,CHINA EVERBRIGHT LIMITED,中國光大控股
166,NEW TIMES ENERGY CORPORATION LIMITED,新時代能源
167,IDT INTERNATIONAL LIMITED,IDT INT'L
168,TSINGTAO BREWERY COMPANY LIMITED,青島啤酒股份
169,WANDA HOTEL DEVELOPMENT COMPANY LIMITED,萬達酒店發展
171,SILVER GRANT INTERNATIONAL HOLDINGS GROUP LIMITED,銀建國際
172,GOLDBOND GROUP HOLDINGS LIMITED,金榜集團
173,K. WAH INTERNATIONAL HOLDINGS LIMITED,嘉華國際
174,GEMINI INVESTMENTS (HOLDINGS) LIMITED,盛洋投資
175,GEELY AUTOMOBILE HOLDINGS LIMITED,吉利汽車
176,SUPERACTIVE GROUP COMPANY LIMITED,先機企業集團
177,JIANGSU EXPRESSWAY COMPANY LIMITED,江蘇寧滬高速公路
178,SA SA INTERNATIONAL HOLDINGS LIMITED,莎莎國際
179,JOHNSON ELECTRIC HOLDINGS LIMITED,德昌電機控股
180,KADER HOLDINGS CO. LTD,開達集團
181,FUJIAN HOLDINGS LIMITED,閩港控股
182,CONCORD NEW ENERGY GROUP LIMITED,協合新能源
183,WINFULL GROUP HOLDINGS LIMITED,宏輝集團
184,KECK SENG INVESTMENTS (HONG KONG) LTD,激成投資
185,ZENSUN ENTERPRISES LIMITED,正商實業
186,NIMBLE HOLDINGS COMPANY LIMITED,敏捷控股
187,BEIJING JINGCHENG MACHINERY ELECTRIC COMPANY LIMITED,京城機電股份
188,SUNWAH KINGSWAY CAPITAL HOLDINGS LIMITED,新華匯富金融
189,DONGYUE GROUP LIMITED,東岳集團
191,LAI SUN GARMENT (INTERNATIONAL) LIMITED,麗新國際
193,CAPITAL ESTATE LIMITED,冠中地產
194,LIU CHONG HING INVESTMENT LTD,廖創興企業
195,GREENTECH TECHNOLOGY INTERNATIONAL LIMITED,綠科科技國際
196,HONGHUA GROUP LIMITED,宏華集團
197,HENG TAI CONSUMABLES GROUP LIMITED,亨泰
199,ITC PROPERTIES GROUP LIMITED,德祥地產
200,MELCO INTERNATIONAL DEVELOPMENT LIMITED,新濠國際發展
201,MAGNIFICENT HOTEL INVESTMENTS LIMITED,華大酒店
202,EVERCHINA INT'L HOLDINGS COMPANY LIMITED,潤中國際控股
204,CHINA INVESTMENT DEVELOPMENT LIMITED,中國投資開發
205,SEEC MEDIA GROUP LIMITED,財訊傳媒
206,"CMIC OCEAN EN-TECH HOLDING CO., LTD.",華商國際海洋控股
207,JOY CITY PROPERTY LIMITED,大悅城地產
209,WINSHINE SCIENCE COMPANY LIMITED,瀛晟科學
210,DAPHNE INTERNATIONAL HOLDINGS LIMITED,達芙妮國際
211,STYLAND HOLDINGS LIMITED,STYLAND HOLD
212,NANYANG HOLDINGS LIMITED,NANYANG HOLD
213,NATIONAL ELECTRONICS HOLDINGS LTD,NATIONAL ELEC H
214,ASIA ORIENT HOLDINGS LIMITED,匯漢控股
215,HUTCHISON TELECOMMUNICATIONS HONG KONG HOLDINGS LIMITED,和記電訊香港
216,CHINNEY INVESTMENTS LTD,建業實業
217,CHINA CHENGTONG DEVELOPMENT GROUP LIMITED,中國誠通發展集團
218,SHENWAN HONGYUAN (H.K.) LIMITED,申萬宏源香港
219,SHUN HO PROPERTY INVESTMENTS LIMITED,順豪物業
220,UNI-PRESIDENT CHINA HOLDINGS LTD.,統一企業中國
222,MIN XIN HOLDINGS LIMITED,閩信集團
223,ELIFE HOLDINGS LIMITED,易生活控股
224,PIONEER GLOBAL GROUP LIMITED,建生國際
225,POKFULAM DEVELOPMENT CO. LTD,博富臨置業
226,LIPPO LIMITED,力寶
227,FIRST SHANGHAI INVESTMENTS LIMITED,第一上海
228,CHINA ENERGY DEVELOPMENT HOLDINGS LTD,中能控股
229,RAYMOND INDUSTRIAL LIMITED,利民實業
230,MINMETALS LAND LIMITED,五礦地產
231,PING AN SECURITIES GROUP (HOLDINGS) LIMITED,平安證券集團控股
232,CONTINENTAL AEROSPACE TECHNOLOGIES HOLDING LIMITED,大陸航空科技控股
234,NEW CENTURY GROUP HONG KONG LIMITED,新世紀集團
235,CHINA STRATEGIC HOLDINGS LIMITED,中策集團
236,SAN MIGUEL BREWERY HONG KONG LIMITED,香港生力啤
