participant_id,participant_name,participant_name_chi
B00957,KOH'S INVESTMENT CO,KOH'S INVESTMENT CO
B00965,HANTEC SECURITIES CO,HANTEC SECURITIES CO
B00976,STEPHIL SECURITIES CO,STEPHIL SECURITIES CO
B00987,SABAH SECURITIES & INVESTMENT CO,SABAH SECURITIES & INVESTMENT CO
B00988,LAWSONS SECURITIES CO,LAWSONS SECURITIES CO
B01000,GOLDEN DRAGON SECURITIES CO,GOLDEN DRAGON SECURITIES CO
B01004,DASWANI TEK,DASWANI TEK
B01007,BULLISH SECURITIES,BULLISH SECURITIES
B01011,TRADEMORE SECURITIES & INVESTMENT CO,TRADEMORE SECURITIES & INVESTMENT CO
B01015,KAM BO SECURITIES CO,KAM BO SECURITIES CO
B01024,HAMBURG SECURITIES CO,HAMBURG SECURITIES CO
B01031,KELLY & CO,KELLY & CO
B01033,TOWN HANG SECURITIES CO,TOWN HANG SECURITIES CO
B01034,WING YIP CO,WING YIP CO
B01039,KWOK HING SECURITIES CO,KWOK HING SECURITIES CO
B01040,GREAT HONOUR SECURITIES CO,GREAT HONOUR SECURITIES CO
B01045,SAI SHING SECURITIES CO,SAI SHING SECURITIES CO
B01055,LO KIN FAI SECURITIES CO,LO KIN FAI SECURITIES CO
B01068,TEIL STOCK INVESTMENT CO (ADMINISTRATORS,新大利證券投資公司
B01069,KAN FUNG SECURITIES CO,KAN FUNG SECURITIES CO
B01076,BARCLAYS CAPITAL SECURITIES ASIA LTD,BARCLAYS CAPITAL SECURITIES ASIA LTD
B01077,MACQUARIE CAPITAL SECURITIES LTD,MACQUARIE CAPITAL SECURITIES LTD
B01078,STANDARD CHARTERED SECURITIES,STANDARD CHARTERED SECURITIES
B01080,VMS SECURITIES LTD,鼎珮證券有限公司
B01081,TAI WAH & CO,TAI WAH & CO
B01084,S.G. WARBURG SECURITIES ASIA LTD,S.G. WARBURG SECURITIES ASIA LTD
B01085,SALOMON SMITH BARNEY SECURITIES ASIA LTD,SALOMON SMITH BARNEY SECURITIES ASIA LTD
B01086,SUN HUNG KAI INVESTMENT SERVICES LTD,新鴻基投資服務有限公司
B01087,TAI PO SECURITIES CO,TAI PO SECURITIES CO
B01088,CREDIT AGRICOLE INDOSUEZ CHEUVREUX,CREDIT AGRICOLE INDOSUEZ CHEUVREUX
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,匯豐金融證券(香港)有限公司
B01092,STAR SECURITIES CO,STAR SECURITIES CO
